计算机英语
abbreviate vt.缩写，省略
capacity 能力
capital 大写
capitalized a.大写的
caption 图表说明
capture 捕捉
card 卡
caret (禁止)记号
carousel n.圆盘传送带
carriage 托架
carrier 载波
carry 进位
cartridge 盒式磁带
cascade 级联
case n.情况，场合
cash n.现金
cassette 盒式磁带
cast 强制转型
catalog 编目
catalogue 编目
catch 捕捉
category 种类
cation n.正离子，阳离子
cause 原因
caution 注意
CD 光盘，激光唱片
cedilla 变音符
cell 单元
Celsius 摄氏
center 中心
centering 向中对齐
centerline 中线
centimeter 厘米
central 中央的
centrex 中央交换机
century n.世纪
certain a.确实的，确定的
certainty n.必然，确实
certification 确证
chain 链
chained 链接
chaining 链接
chamber 箱
change 更改
channel 通道
channelizing 沟道效应
chapter 章
char 字符
character 字符
characteristic 特性
charge 费用
charging 充电
chart 图表
chassis 机壳
check 检查
checker 检查器
checkout 检出
checkpoint 检查点
child 儿子节点
children 子女
chip 芯片
choice 选项
choose v.挑选，选择，选定
chord 弦
chunk n.厚块，大部分
ciphertext 密码文本
circle n.圆，圈，循环，周期
circuit 电路
circular 循环
circumflex 弯曲
circumstance n.情况，环境，细节
citation 引用
city 城市
clamp 夹
class 类
classify 分类
clause 子句
clear 清除
clearinghouse 清除库
clerk 职员
click 单击
client 客户
clip 裁剪
clipboard 裁剪板
cliping 裁剪
clipper n.剪刀
clock 时钟
clocking 定时
clockwise 顺时针方向
Close 关闭
closed a.关闭的，闭迹
closely a.精密地，仔细地
cluster 群集
coalesce 结合
coating 涂层
coax 同轴
coaxial 同轴的
code 代码
coder 编码器
codeset 代码集
coding 编码
coefficient 系数
coexist 共存
coexistence 共存
coffret 传输接口
collapse 崩溃
collate 整理
collation 整理
collator 整理器
collection 堆集
collision 冲突
colon 冒号
colour 颜色
column 列
combination 组合
combine 组合
combobox n.组合框
comma 逗号
command 命令
comment 注解
commercial a.商业的，经济的
commit 落实
commitment 落实
commodity 商品
common 公共的
communicate 通信
communication n.通信
compact 压缩
compaction 压缩
company 公司
comparand 比较字
comparator 比较器
compare 比较
comparison 比较
compatibility 兼容性
compatible 兼容的
compilation 编译
compile 编译
compiler 编译器
complement 补码
complementer 反相器
complete 完成
completely ad.十分，完全，彻底
completion 完成
complex 复杂的
complexities 复杂性
complexity 复杂程度
complicated v.使复杂化，使混乱
component 部件
components 部件
compose 组成
composing 组成
composite 合成
composition 组合
compress 压缩
compression 压缩
compressor 压缩器
comprise vt.包括，由...组成
compute 计算
computer 计算机
computing 计算
concatenate 并置
concatenation 并置
concentration 集中
concentrator 集线器
concept n.概念
concordance 重要语汇索引
concurrent 同时的
condense 压缩
condition 条件
conditional 条件的
conditioning 调节
conductor 导线
conduit 护线管
confidential 机密
configuration 配置
configurator 配置程序
configure 配置
confirm 确认
confirmation 确认
conflict v.冲突，碰头
conflicting 冲突
conform vi.遵从，符合
confuse vt.使混乱，干扰
congestion 拥塞
conjunction 与
connect 连接
connected 连接
connection 连接
connective 连接词
connectivity 连通性
connector 连接器
consecutive 连续的
consent 插座
consequently ad.因此，从而
consider 考虑
consideration n.考虑，研究，讨论
considered a.考虑过的，被尊重的
consist vi.符合，包括
consistency 一致性
consistent 一致的
console 控制台
consolidate 合并
const n.常数
constant 常量
constantly ad.不变地，经常地
constraint 约束
constructing 构造
constructor 构造成员
consult v.咨询，顾问
consumable 消费品
consume v.消耗，使用
contact 联系
contain 包含
container 容器
containment 包含
content 内容
contention 争用
context 上下文
contextual 上下文的
contiguous 相连的
continue 继续
continued 接上页
continuously ad.连续不断地
contractor 承包方
contrast 反差
control 控制
controllability 可控制性
controlled a.受控制的，受操纵的
controller 控制器
convegence 收敛
convenience n.方便，便利
convenient a.方便的，便利的
convention 约定
conventional a.常规的，习惯的
converg 收敛
converged 收敛的
conversation 对话
conversational 会话式
conversion 转换
convert 转换
converted 转换的
converter 转换器
coordinate 坐标
coordinator 协调程序
coprocessor 协处理器
copy 复制
copying 复制
copyright n.版权
cord n.绳子，电线
core 核心
coresidency 共存
corner 角
corona 电晕
correct 正确
correction n.校正，修正
correctly 正确
correlator 相关因子
correspond vi.通信(联系)
corresponding 相应的
corrupt v.有毛病的
corrupted 毁坏的
cosine 余弦
cost 成本
costing 成本法
Coulomb 库仑
count 计数
counter 计数器
counterclockwise 反时针方向
country 国家
coupler 耦合器
coupling 耦合
courier 信使
course n.过程，航向，课程
cover 盖
CPU 控制处理部件
crank 曲柄
crash 崩溃
craze n.开裂
create 建立
creation n.创造，创作
creator 建立者
credentials 凭证
credit 信用
crew 组员
criteria 标准
criterion n.标准，判据，准则
critical 临界的
crop v.切，剪切
cross 跨
crossfoot 交叉结算
crowding 拥挤
cryogenics 低温学
cryotron 低温管
cryptographic 密码
cryptography 密码术
CUA 公共用户存取访问
culling 挑选
cumulative 累积的
current 当前
currently ad.目前，现在
cursor 光标
curtate 卡片部分
cushion 缓冲器
custom a.用户
customation 定制
customer 用户
customize 定制
cut 剪下
cutoff 截止
cutout 开口
cybernetics 控制论
cycle 循环
cyclinder 柱面
cyrill 西里尔
daemon 守护程序
daily a.每日的，日常的
damage 损坏
damping 阻尼
dark 黑暗
DASD 直接存取存储器
data 数据
database 数据库
datagram 数据报
date 日期
datum 数据
day 天
db 分贝
deactivate 释放
deactivated 释放
deactivation 释放
deadlock 死锁
deal v.处理，分配，交易
dealer 经销商
deallocate 释放
dearly ad.极，非常，昂贵地
death n.毁灭，消灭
debit 借额
deblock 解块
deblocking 解块
debug 调试
debugger 调试器
deca 十（词头）
deci 十分之一（词头）
decibel 分贝
decide v.(使)判定，判断
decimal 十进制
decipher 译码
decision 判定
deck 叠
declaration 说明
declarative 说明的
declarator 说明符
declare 说明
declared a.承认的，申报的
decode 译码
decoder 译码器
decollate 分开
decompression 还原
deconcentration 分散
deconcentrator 分线器
decrease v.减少，降低，缩短
decreasing 递减
decrement 减
decrypt 译码
decurl 去卷曲
dedicate 专用
dedicated 专用的
dedication 专用
deduction 扣除
default 缺省
defect 缺陷
defective a.故障的，有毛病的
definable a.可定义的，可确定的
define 定义
definition 定义限定
deflect 转向
degrade v.降低，减少，递降
degree 度
delay 延迟
deleave 拆散
delegation 授权
delete 删除
deletion n.删去(部分)，删除
delimit 定界
delimiter 定界符
delinquent 拖欠帐款
deliver 传递（回叫）
delivery 传递
demand 需求
demangling 识别解码
demodulate 解调
demodulation 解调
demodulator 解调器
demographic 人口统计的
demon 精灵程序
demonstrate v.论证，证明，证实
demonstration 示范
demount 卸下
demultiplex 多路分用
demultiplexer 多路分用器
denary 十进制的
denormal 非正常表示的
denote 表示
density 密度
deny 否认
department n.部门，门类，系
depend 取决于
dependent 从属
dependents 从属
depress 按下
depth 深度
deque 双队列
dequeue 离队
derivation 派生
descend 下降
descendant 子代
describe 描述
descried a.被看到的，被发现的
description n.描述
descriptor 描述信息块
deselect 取消选择
deserialize 串行变并行
deserializer 串并转换器
design 设计
designate 指定
designated a.指定的，特指的
designation 指定
designlist 设计表
desirable a.所希望的，称心的
desire v.期望
desired 期望的
desk n.书桌，控制台，面板
desktop 桌面
desposition 支配权
destage 离台
destination 目的地
destroy 毁坏
destructor 析构成员
detached 分离的
detail 细节
detailed 详细的
detect 检测
detent 稳定装置
deter vt.阻止，拦住，妨碍
determinant 行列式值
determine 确定
develop 开发
developer 开发者
developing 开发
development n.开发，研制
deviation 偏差
device 设备
diacritic 发音符号
diacritical a.区分的，辩别的
diaeresis 分音符
diagnose 诊断
diagnostic 诊断的
diagnostics 诊断
diagonal 对角的
diagonally ad.斜(对)
diagram 图表
dial 拨号
dialing 拨号
dialog 对话
dibit 双位
dictionary 字典
differ vi.不同，不一致
difference 差
different 不同的
differentiate v.区别，分辨
differentiator 微分器
digest 整理
digit 数字
digital 数字
digitize 数字化
dimension 维
dimensional n....维的
dimensionality 维数
diode 二极管
diphthong 元音连字
dipping 浸渍法
direct 直接的
direction 指导
directly ad.直接地，立即
director 导向器
directory 目录
dirid 目录标识符
dirname 目录名
Dirve 驱动器
disable 禁用
disabled 禁用的
disappear vi.消失
disassembler 反汇编器
disc 磁盘
discard v.删除，废除，放弃
discarded 废弃的
discipline 规程
disconnect 断开
disconnection 断开
discrete 离散的
discriminant 判别式
discriminator 鉴别器
disjunction 析取
disk 磁盘
diskette 软盘
dismount 卸下
dispatch 分派
dispatcher 调度器
dispersant 分散剂
displacement 位移
display 显示
dispose 配置
disposition 配置
disregard vt.轻视,把..忽略不计
dissector 析象器
distinction n.区别，相异，特性
distinguish v.区别，辨识
distort 失真
distortion 失真
distribute vt.分布，配线，配给
distributed 分布的
distribution 分发
dithering 抖动
ditto 同上
diversion 转换
divide v.除
dividend 被除数
division 部分
divisor 除数
DLL 动态连接库
document 文档
documentation 文档编制
documenting 记录
domain 域
DOS 磁盘操作系统
dot 点
double a.两倍的，成双的
doublet 二位字节
doubleword 双字
down 向下
download 卸载
downstream 顺流
draft 草稿
drag 拖曳
drawable 可绘制的
drift 漂移
drive 驱动器
driver 驱动程序
drop 放下
drum 磁鼓
dryer 干燥器
dual a.对偶的，双的
due 到期
dumb 哑的
dummy 哑的
dump 转储
duodecimal 十二进制的
duplex 双工
duplicate 重复
duplication 复制
duplicator 复印机
durability 耐用性
duration 持续时间
during 在期间
dynamic 动态
dynamicizer 动态转换器
each 每个
echo 回显
edge 边
edit 编辑
editing 编辑
edition 版本
editor 编辑器
effect n.效率，作用，效能
effective a.有效的
effectivity 有效性
efficiency 效率
efficiently ad.有效地
eigenvalue 特征值
eject 弹出
elaboration 加工
elapsed vi.经过
electronic 电子的
electronics 电子学
element 元素
eliminate 消去
ellipse 椭圆
ellipsis n.省略符号，省略(法)
embedded 嵌入的
embedding 嵌入
emboldening 增亮
embossment 凸起
emphasis 强调
emphasize v.强调，着重，增强
empty a.空，零，未占用
emulate 仿真
emulation 仿真
emulator 仿真器
emulsion 感光乳剂
enable 允许
encapsulation 封装
encipher 加密器
enclave 程序集
enclose vt.封闭，密封，包装
enclosure 安装箱
encode 编码
encoder 编码器
encounter 遇到
encrypt 加密
encryption 加密
end 末端
endian 字节存储次序
endpoint 端点
engineering 工程
enhance 增强
enlargement 放大
enqueue 排队
enquiry 询问
enroll 报名
ensure 保证
enter 输入
enterprise 企业
entire a.总体
entirely ad.完全地，彻底地
entity 实体
entrance 入口
entropy 熵
entry 项目
enumerator 枚举符
environ vt.围绕，包围
environment 环境
environmental a.周围的，环境的
epilogue 结尾
epoch 戳记
equal 等于
equalization 均衡
equalizer 均衡器
equally ad.相等地，相同地
equation 方程式
equipment 装置
equivalence 等价
equivalent 等价的
equivocation 条件信息量总平均值
erase 擦除
eraser 擦除器
ergoromics 人类工程学
erlang 厄兰
error 错误
escalation 逐步上升
escape 跳出
esoteric 机密的
especially ad.特别(是)，尤其
essentially ad.实质上，本来
establish 建立
establishment 建立
Ethernet 以太网
evaluate 估计
event 事件
every 每个
examine v.检验，考试，审查
example 例子
exceed 超过
exceeded a.过度的，非常的
except prep.除...之外，除非
exception 异常
excerpt 摘录
exchange 交换
exclamation n.惊叹(号)
exclude 排除
exclusive 互斥的
executable a.可执行的
execute 执行
execution 执行
exerciser 试验程序
exhaust v.取尽，用完
exist 存在
existing 现存的
exit 退出
expand 扩充
expander 扩充器
expanding a.扩展的，扩充的
expansion n.展开，展开式
expect vt.期望，期待，盼望
expenditure 支出
expenses 费用
experience vt.试验
experiment n.实验，试验(研究)
experimentation n.实验(工作，法)
expertise 专门知识
expire v.终止，期满
explain 说明
explanation 说明
explanatory a.解释(性)的
expletive 虚词
explicitly ad.明显地，显式地
exponent 指数
exponential 指数的
exponentiation 取幂
export 调出
exporter 出口服务器
exposing 曝光
exposure 曝光度
express a.快速的
expression 表达式
expunge vt.擦除，删掉
extend 扩展
extension 扩充
extent 范围
external 外部的
extra a.特别的，额外的
extract 抽取
extremely ad.极端地，非常
extremity 极限
eyecatcher 识别序列
face n.面，表面
facilities 设施
facility n.设施，装备，便利
facsimile 传真
factor 因子
factorial 阶乘
factoring 因式分解
factorization 因式分解
fail 失败
failure 失败
fallback 撤退
false a.假(布尔值)，错误
familiar a.熟悉的，惯用的
familiarize vt.使熟悉，使通俗化
family 系列
fancy n.想象(的),精制的
fast 快速
fastback n.快速返回
fasten 固定
fastselect 快速选择
father n.父，上层(树节点的)
fault 故障
feature 特征成份
feed 馈送
feedback 反馈
feedboard 供纸板
feeder 输电线
feminine 阴性
ferrite 铁氧体
ferromagnetics 磁学
fetch 取
fiber 纤维
field 字段
figure 图
file 文件
filename 文件名
fileset 文件集
filespace 文件空间
filetab 文件标记
filing n.（文件的）整理汇集
fill 填充
filler 填充符
film 薄膜
filter 筛选程序
final 最后的
finally ad.终于，最后
find 寻找
finish 完成
first 首先
fix 修订
fixed 固定的
fixing 定影
flag 标志
flashing 闪亮
flat 平面的
flexibility 灵活性
flicker 闪烁
floating 浮动
floppy n.软磁盘
flourescent 荧光的
flow 流动
fluerics 流体学
fluidic 射流的
fluidics 射流技术
flush 清仓
flyback 回扫
fold 折叠
folder 文件夹
folding 折叠
folio 对开本
follower 跟随器
following 下列
font 字体
foot 英尺
footer 脚注
footnote 注脚
forbidden 禁用的
force v.力，强度
forced a.强制的
forecast 预测
foreground 前台
forget 忽略
fork 创建子进程
form 表格
format 格式
formation n.构造，结构，形成
formatted a.有格式的
formatter 格式化器
formatting n.格式化
formed a.成形
formula 公式
fortuitous 不规则的
forward 向前
fourscore n.八十
fragment n.片段，段，分段
fragmentation 存储残片
fragmenting 分割
frame 帧
framework 框架
framing 组帧
franking 打印标记
free 释放
freeze v.冻结，结冰
freight 运费
frequency 频率
frequently ad.常常，频繁地
from 从
frustum 截头锥体
full 全部
fullword 全字
fully ad.十分，完全
function 功能
fundamental a.基本的，根本的
fuse 熔凝
fuser 熔凝器
fusing 定影
gain 增益
gap 间隔
garbage 无用信息
gate 门
gateway 网关
gather 集中
general 一般的
generate 产生
generation 产生
generator 发生器
generic 类属
geometry 几何
giag 千兆
gigacycle 千兆周
glance n.闪烁
global 全局的
glossary 词汇表
glyph 图象字符
go vi.运行，达到
Gothic 哥特体
grab 抓取
gradation 灰度
gram 克
grant 授予
grantee 接受者
grantor 授予者
granularity 颗粒度
graph 图
graphic 图形的
graphically ad.用图表表示
graphics 图形
grave 雕刻
gravity 重心
grid 栅极
groove 槽
ground 地
grounding 接地
group 组
growth 增长
GUI 图形用户界面
guide 指南
guideline 指南
halftone 半色调
halfword 半字
halt 停机
handle 句柄
handler 处理器
handles 控键
handling n.处理，操纵
handset 电话听筒
handshaking 握手
handy 方便的
hang v.中止，暂停，挂起
Hanzi 汉字
hardware 硬件
hardwired 硬连线的
harmonic 谐波
Hartley 哈特利
hashing 散列法
head 磁头
header 头
heading 标题
headphone 耳机
heap 堆阵
hecto 百
hectometer 百米
Help 帮助
helper 帮助程序
heuristic 试探的
heuristics 试探
hex 十六进制
hexadecimal a.十六进制的
hidden 隐藏的
hide 隐藏
hierarchical 分层的
hierarchy 层次结构
highlight 突出显示
highlighting 突出显示
Hiragana 平假名
histogram 直方图
history 历史
hit 命中
hits 瞬态干扰
hm 百米
hold 保持
hole 孔
holiday 假期
Hollerith 霍勒内斯
homologation 认可
hook 挂钩
hopper 送卡箱
horizontal 水平的
horizontally ad.水平地
host 主机
hotfix 热修复
hotspot 热点
housekeeping 内务处理
housing 外壳
how 如何
hub 集线器
humidity 湿度
hunting 寻找
hyperbola 双曲线
hypertext 超文本
hyphen n.连字符，短线
hyphenation 字符连接
icelandic 冰岛
icon 图符
iconify 图符化
idempotent 幂等
identical a.相等的，相同的
identically ad.相等，恒等
identification 标识
identifier 标识符
identify 标识
idle 空闲
ignore 忽略
illegal 非法的
image 图象
imbedded 嵌入的
imbedding 嵌入
immediate 立即的
impedance 阻抗
impingement 冲击
implement 实现
implementation 实现
implication 蕴含式
implicit 隐式
implied 隐式的
implosion 内爆
import 调入
importer 进口服务器
imprinter 印刷器
imprinting 印刷
improve 改进
improvement 改进
impulse 脉冲
inaccessible 不可存取的
inaccuracy 不准确度
inactive 非活动的
inbound 入站
include 包括
inclusion 包含
inclusive a.包括的，内含的
incoming 进入
incompatibility 不相容
incompatible 不兼容
inconnector 内接符
incorporate 合并
incorrect 不正确
increase v.增加，增大
increasing 递增
increment 增量
incremental 增量的
indefinitely ad.无限地，无穷地
indent 缩排
indentation 缩排
indention 缩排
independent 独立
independently 各自地
index 索引
indexing 变址
indicate vt.指示，表示
indicator 指示符
indirect 间接的
indirection 间接
indirectly ad.间接地
individual 个别的
individually ad.个别地，单独地
induction 归纳法
industrial 工业的
industry n.工业
inexperienced a.不熟练的，外行的
inferiors 下级
infinite a.无限的，无穷的
infinity 无穷大
influence 影响
inform 通知
information 信息
inherit 继承
inheritance 继承
inhibit 禁止
inhibited 禁止的
initial 初始的
initialization 初始化
initialize 初始化
initializer 初始化程序
initially ad.最初，开头
initiate 启动
initiator 启动程序
inking 墨迹式画图
inline 直接(禁止)的
inlining 在线的
input 输入
inquiry 查询
insert (禁止)
insertion n.(禁止)，嵌入，插页
inside n.内部的
inspection 检查
install 安装
Installable 可安装
installation 安装
instance 实例
instaneous 瞬时的
instant a.立刻的，直接的
instantiate 实例化
instead ad.(来)代替，当作
instruct 指示
instruction 指令
instrumentation 仪表化
insufficient a.不足的，不适当的
insulation 绝缘
insure v.保证，保障
integer 整数
integrate 集成
integrated 集成的
integrator 积分器
integrity 完整性
Intellect 才智
intelligence 智能
intelligent 智能的
intend vt.打算，设计
intense a.强烈的，高度的
intensity 亮度
interaction 交互
interactive 交互式
intercept 拦截
intercepting 截取
interchange 交换
interest n.兴趣，注意，影响
interface 界面
interfere vi.干涉，干扰，冲突
interference 干扰
interlace 交错
interleave 交错
interlink 相互链接
interlock 互锁
intermediate 中间的
intermittent 间歇性的
intern 保留区
internal 内部的
internally ad.在内（部）
international 国际的
internationalization 国际化
Internet 网际
internetwork 网际
interoperability vi  n.配合动作性
interoperable a.彼此协作的
interpret v.解释
interpreter 解释器
interrelated 相关的
interrupt 中断
intersection 逻辑乘
interval 间隔
intervene vi(禁止)，干涉
intervention 介入
introduce vt.引进，引导
introduction 介绍
invalid 无效
invariant 不变量
invent vt.创造，想象
inventory 存货
inverse 逆矩阵
invert 翻转
investigate 审查
invocation 调用
invoice 发票
invoke 调用
involve vt.涉及，卷入，占用
involved a.有关的
isolation 隔离
issue 发出
item 项目
iterate 迭代
iteration 迭代
iterative a.迭代的,重复的
jack 插座
jam 堵塞
job 作业
joggle 轻摇
join 汇合
journal 日志
journaling 日志
joystick 控制杆
jump 转移
junction 连接
justify 对齐
kanji 汉字
katakana 片假名
keep 保持
kernel 内核
kerning 字母紧排
key 键
keyboard 键盘
keycaps 键罩
keyed a.键控的
keylock 键锁
keypad n.小键盘
keypunch 键控穿孔机
keysym 键码
keyword 关键字
kill 杀死（进程）
kilo 千
kilobyte 千字节
kilogram 千克
kilometer 公里
kilowatt 千瓦
kit 组件
knob 握柄
label 标号
labeled a.有标号的
labor 人工
laboratory 实验室
lag 延迟
language 语言
latched 锁存的
latency 等待时间
launch 启动
layer 层
layout 布局
leaders 引线
leading n.引导(的)
leaf 叶
leased 租用的
leave 脱离
leaves 叶
left 向左
legal a.合法的，法律的
legend 图注
lending n.借出的
letter 字母
level 层次
lever 杠杆
lexical a.辞典的，词法的
lexically 词法上
lexicon 辞典
liabilities 负债额
librarian 库管理器
library 库
licensed 特许的
ligature 连字
light 指示灯
limit 极限限制
limitation 限制
limited a.有限的，（受）限制的
line 行
linefeed 换行
linestyle 线型
linewidth 线宽
link 连接
linkable 可链接的
linkage 链接
linker 链接器
list 列表
listen 收听
listening 收听
listing 列表
literal 文字
load 装入
loaded 已载入（的）
loader 装入器
loading 装入
local 本地的
locale 场所
localization 本地化
locally 本地
locate 找出
locating n.定位，查找
location 位置
locator 定位器
lock 加锁
locking 锁定
lockout 封锁
lockup 锁定
log 记录
logarithm 对数
logged a.记录的，浸透的
logger 记录器
logic 逻辑
logical a.逻辑的，逻辑“或”
Login 登录
logo 标志
logoff 注销
logon 注册
Logout 退出
long 长型
loop 循环
loopback 回送
lost 丢失
lowercase n.下档，小写体
lumen 流明
lux 勒克司
lvalue 左值
mach n.马赫(速度单位)
machine 机器
macro 宏
macroelement 宏元素
macroexpansion 宏指令扩充
macrogeneration 宏产生
macrogenerator 宏产生程序
macroinstruction 宏指令
macrolanguage 宏语言
macrolibrary 宏库
macroprogramming 宏编程
magnitude 大小
mail 邮件
mailbox 邮箱
mailer 邮件程序
mailslot 邮件槽
main 主
mainframe 大型机
mainline 主线
maintain 维护
maintainability 可维护性
maintainable 可维护的
maintenance 维护
major a.较大的，主要的
majority 多数
make vt.制造，形成
malfunction 故障
manage 管理
management 管理
manager 管理器
mandatory 必要的
mangling 识别编码
manifest vt.表明，显示，显现
manipulate 操作
manipulating v.操纵，操作
manipulator 操纵元
manner n.方法，样式，惯例
mantissa 尾数
manual 手册
manually ad.用手，手动地
manufacture vt.制造(业)，工业
manufacturer 制造商
manufacturing 制造
manuscript 手稿
map 映象
mapping 映象
margin 余量
mark 标记
marked a.有记号的
marker 标记
marketing 市场营销
marking n.标记，记号，传号
marshal 编组
marshalling 编组
masculine 阳性
mask 掩码
masking n.掩蔽，屏蔽
master a.总要的，总的
match 匹配
matching n.匹配，调整
material 资料
materialization 具体化
materialize 具体化
math n.数学
matrix 矩阵
Maximize 最大化
maximum 最大的
MBCS 多字节字符集
mean 平均
means n.方法，手段
measure 测量
mechanism 机制
media 媒体
medialess 无媒介
medium n.中等的
mega n.兆，百万
member 成员
memo 便笺
memorandum 便笺
memory 内存
mention vt.叙述，说到
menu 菜单
merge 合并
message 信息
metadata 元数据
